id,ident,type,name,latitude,longitude,elevation_ft,iso_region,city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26806,WAWW,small_airport,Wolter Monginsidi Airport,-4.081610203,122.4179993,538,ID-SG,Kendari-Celebes Island,1,WAWW,KDI,,,http://en.wikipedia.org/wiki/Ketapang_Airport,WAAU,450,2008-08-22T18:34:44+00:00
26785,WARA,small_airport,Abdul Rachman Saleh Airport,-7.926559925,112.7149963,1726,ID-JI,Malang-Java Island,1,WARA,MLG,,,http://en.wikipedia.org/wiki/Abdul_Rachman_Saleh_Airport,WIAS,450,2012-08-30T23:13:00+00:00
26780,WAOP,small_airport,Tjilik Riwut Airport,-2.225130081,113.9430008,82,ID-KT,Palangkaraya-Kalimantan Tengah,1,WAOP,PKY,,,http://en.wikipedia.org/wiki/Tjilik_Riwut_Airport,WRBP,450,2016-01-13T00:21:42+00:00
26842,WIOD,small_airport,Buluh Tumbang (H A S Hanandjoeddin) Airport,-2.74571991,107.7549973,164,ID-BB,Tanjung Pandan-Belitung Island,1,WIOD,TJQ,,,http://en.wikipedia.org/wiki/Buluh_Tumbang_Airport,WIKD,450,2013-12-21T14:02:04+00:00
26852,WIPK,small_airport,Pangkal Pinang (Depati Amir) Airport,-2.162199974,106.1389999,109,ID-BB,Pangkal Pinang-Palaubangka Island,1,WIPK,PGK,,,http://en.wikipedia.org/wiki/Pangkalpinang_Airport,WIKK,350,2013-12-21T14:05:24+00:00
26837,WIME,medium_airport,Aek Godang Airport,1.4001,99.430496,922,ID-SU,Padang Sidempuan-Sumatra Island,1,WIME,AEG,,,https://en.wikipedia.org/wiki/Aek_Godang_Airport,,250,2016-02-13T17:01:15+00:00
26795,WASS,closed,Jefman Airport,-0.926357985,131.1210022,10,ID-PB,Sorong-Papua Island,0,,,,,http://en.wikipedia.org/wiki/Jefman_Airport,"SOQ, WASS",825,2015-05-28T09:01:09+00:00
26791,WASF,medium_airport,Fakfak Airport,-2.920190096,132.2669983,462,ID-PB,Fakfak-Papua Island,1,WASF,FKQ,,,http://en.wikipedia.org/wiki/Fakfak_Airport,,800,2008-08-22T18:34:28+00:00
26792,WASK,medium_airport,Kaimana Airport,-3.644520044,133.6959991,19,ID-PB,Kaimana-Papua Island,1,WASK,KNG,,,http://en.wikipedia.org/wiki/Kaimana_Airport,,800,2008-08-22T18:34:31+00:00
26844,WIOK,medium_airport,Ketapang(Rahadi Usman) Airport,-1.816640019,109.9629974,46,ID-KB,Ketapang-Borneo Island,1,WIOK,KTG,,,http://en.wikipedia.org/wiki/Ketapang_Airport,,800,2008-08-22T18:35:16+00:00
26838,WIMG,medium_airport,Tabing Airport,-0.874989,100.351997,9,ID-SB,Padang-Sumatra Island,1,WIMG,,,,http://en.wikipedia.org/wiki/Tabing_Airport,,800,2018-04-26T13:21:30+00:00
26773,WAMT,medium_airport,Sultan Khairun Babullah Airport,0.831413984,127.3809967,49,ID-MU,Sango-Ternate Island,1,WAMT,TTE,,,http://en.wikipedia.org/wiki/Babullah_Airport,,800,2008-08-22T18:33:56+00:00
26849,WIOS,medium_airport,Sintang(Susilo) Airport,0.063619003,111.4729996,98,ID-KB,Sintang-Borneo Island,1,WIOS,SQG,,,http://en.wikipedia.org/wiki/Sintang_Airport,,800,2008-08-22T18:35:16+00:00
26797,WATE,small_airport,Ende (H Hasan Aroeboesman) Airport,-8.849289894,121.6610031,49,ID-NT,Ende-Flores Island,1,WATE,ENE,,,http://en.wikipedia.org/wiki/Ende_Airport,WRKE,450,2012-08-31T00:20:47+00:00
26767,WAMG,small_airport,Jalaluddin Airport,0.637118995,122.8499985,105,ID-GO,Gorontalo-Celebes Island,1,WAMG,GTO,,,http://en.wikipedia.org/wiki/Jalaluddin_Airport,,450,2013-12-21T13:50:24+00:00
26759,WALK,medium_airport,Kalimarau Airport,2.1555,117.431999,59,ID-KI,Tanjung Redeb - Borneo Island,1,WAQT,BEJ,,,https://en.wikipedia.org/wiki/Kalimarau_Airport,"Berau Airport, WALK, WRLK",450,2018-05-05T15:23:27+00:00
